CCD infra,1.0.0,1.0M1,JNPR,1/1/2014
BASE LIBS,1.0.0,1.0M1,JNPR,1/1/2014
Broadway,1.0.0,1.0M1,JNPR,1/1/2014
NOT-MAPPED,1.0.0,1.0M1,JNPR,1/1/2014
Not Mapped,1.0.0,1.0M1,JNPR,1/1/2014
PFE PI,1.0.0,1.0M1,JNPR,1/1/2014
ASIC PI,1.0.0,1.0M1,JNPR,1/1/2014
IF DRIVER,1.0.0,1.0M1,JNPR,1/1/2014
Chassis PD,1.0.0,1.0M1,JNPR,1/1/2014
Chassis PI,1.0.0,1.0M1,JNPR,1/1/2014
Platform PI,1.0.0,1.0M1,JNPR,1/1/2014
Platform PD,1.0.0,1.0M1,JNPR,1/1/2014
BASE EVL INFRA,1.0.0,1.0M1,JNPR,1/1/2014
Routing,1.0.0,1.0M1,JNPR,1/1/2014
NOT-APPL,1.0.0,1.0M1,,JNPR,1/1/2014
EVO BASE APPS,1.0.0,1.0M1,JNPR,1/1/2014
UI,1.0.0,1.0M1,JNPR,1/1/2014
Network Stack,1.0.0,1.0M1,JNPR,1/1/2014
Junos VM Infra,1.0.0,1.0M1,JNPR,1/1/2014
